post_id,original_sentiment,phq8_score,dep_desc,synthetic_sentiment
97,強烈的自責和絕望，符合極度憂鬱,19,中重度憂鬱,作者感受到平淡的無力感，缺乏動力，自我評價下降
97,強烈的自責和絕望，符合極度憂鬱,10,中度憂鬱,作者表現出中度的憂鬱與絕望
97,強烈的自責和絕望，符合極度憂鬱,4,無憂鬱症狀,作者表現出輕度的悲傷與沮喪
99,強烈的自責和絕望,12,中度憂鬱,作者表現出輕度的焦慮與不安
99,強烈的自責和絕望,19,中重度憂鬱,作者陷入著無法從中和的黑暗感，感覺自己的行為無法獲得正確的回饋
99,強烈的自責和絕望,3,無憂鬱症狀,作者感覺自己逐漸恢復，能夠控制自己的情緒和思維，開始放心地面對生活中的挑戰
100,感到寂寞、無助,12,中度憂鬱,作者感到自己處於精神上的停滯，缺乏動力和 Motivation
100,感到寂寞、無助,9,輕度憂鬱,感受到輕度的抑鬱和孤立感
100,感到寂寞、無助,19,中重度憂鬱,在漠漐的日子里，感受到自己正在逐漸失去自我的意義和目的。每天都像是在走在一片空白的世界中，無法找到任何使自己感到有目的的刺激。這種無助感讓我感到像是在被困在一個永遠的陰影中
101,中度憂鬱，伴有自責和無助感,6,輕度憂鬱,作者感受到輕微的壓力感
101,中度憂鬱，伴有自責和無助感,12,中度憂鬱,作者在面對挑戰時，表現出較為平靜的態度，並且展現出對自己能力的信心
101,中度憂鬱，伴有自責和無助感,1,無憂鬱症狀,作者表現出輕度的自責與無助感
102,持續的焦慮和無助感，符合中度憂鬱,12,中度憂鬱,作者感受到自我意識的模糊感
102,持續的焦慮和無助感，符合中度憂鬱,2,無憂鬱症狀,作者感受到輕鬆和安心
102,持續的焦慮和無助感，符合中度憂鬱,15,中重度憂鬱,作者在過去幾週內逐漸出現持續的憂鬱感和無助感
103,持續的絕望感和情緒低落，符合中度憂鬱,11,中度憂鬱,作者表現出輕度的焦慮與不安
103,持續的絕望感和情緒低落，符合中度憂鬱,16,中重度憂鬱,在面臨困難時，作者會感到強烈的孤立感和無助感
103,持續的絕望感和情緒低落，符合中度憂鬱,15,中重度憂鬱,作者表現出重度的抑鬱和絕望感
104,強烈的自責和絕望，符合重度憂鬱,20,重度憂鬱,作者表現出自我質疑和無力感，逐步走向孤立和失去意義
104,強烈的自責和絕望，符合重度憂鬱,12,中度憂鬱,作者表現出中度的抑鬱感
104,強烈的自責和絕望，符合重度憂鬱,10,中度憂鬱,作者表現出輕度的焦慮與不安
105,強烈的自責和絕望,12,中度憂鬱,作者感受到自我期望的重擔，同時也感到無法糾正的決心
105,強烈的自責和絕望,22,重度憂鬱,作者感受到了一種無助和無法逃避的感覺
105,強烈的自責和絕望,5,輕度憂鬱,作者感受到輕微的沮喪感，但仍持續著對未來的 Optimism
106,強烈的絕望和自責,1,無憂鬱症狀,作者表現出輕度的自我體驗和內在平衡
106,強烈的絕望和自責,16,中重度憂鬱,作者感受到身體和心理上的重擔，表現出消極和失去興趣
106,強烈的絕望和自責,2,無憂鬱症狀,作者表現出強烈的絕望和自責
107,輕度焦慮和自責感,13,中度憂鬱,作者感受到憂鬱和沮喪，情緒複雜
107,輕度焦慮和自責感,19,中重度憂鬱,作者出現中重度憂鬱，伴隨著強烈的自責感
107,輕度焦慮和自責感,22,重度憂鬱,作者表現出重度憂鬱的感覺，自我批評和絕望感
108,持續的無助感和情緒低落，符合中度憂鬱,21,重度憂鬱,作者表現出輕度的憂鬱和不安
108,持續的無助感和情緒低落，符合中度憂鬱,17,中重度憂鬱,作者表現出中度的憂鬱和焦慮
108,持續的無助感和情緒低落，符合中度憂鬱,19,中重度憂鬱,作者表現出中度的憂鬱感
109,輕度焦慮和自責,4,無憂鬱症狀,作者感受到一種平衡的情緒平衡
109,輕度焦慮和自責,11,中度憂鬱,作者表現出憂鬱的想法和感受
109,輕度焦慮和自責,19,中重度憂鬱,作者感受到持久的憂鬱感，自我評價不佳
110,感到無力、沮喪、失落，表現出明顯的自責和絕望感,7,輕度憂鬱,作者開始感受到輕度憂鬱的影響，表現出一些沮喪和絕望感
110,感到無力、沮喪、失落，表現出明顯的自責和絕望感,14,中度憂鬱,作者表現出明顯的自責感和絕望感
110,感到無力、沮喪、失落，表現出明顯的自責和絕望感,16,中重度憂鬱,作者表現出強烈的失落感，伴隨著絕望和自責
111,輕度的焦慮和不安,16,中重度憂鬱,作者出現著過度的自責感、無法控制的情緒波動
111,輕度的焦慮和不安,6,輕度憂鬱,作者面臨輕度憂鬱的困擾
111,輕度的焦慮和不安,14,中度憂鬱,作者感受到持久的憂鬱感
112,輕度焦慮,5,輕度憂鬱,作者的情緒狀態逐漸趨向輕度憂鬱，表現出缺乏動力和無力
112,輕度焦慮,13,中度憂鬱,作者感受到身體和精神上的疲勞，缺乏動力和興趣
112,輕度焦慮,14,中度憂鬱,作者在面對挑戰時，表現出中度的憂鬱和沮喪
113,發出求救訊號，有尋死念頭，符合高度憂鬱,2,無憂鬱症狀,作者表現出輕度焦慮感，有自我關懷意念
113,發出求救訊號，有尋死念頭，符合高度憂鬱,15,中重度憂鬱,作者表現出明顯的消極情緒
113,發出求救訊號，有尋死念頭，符合高度憂鬱,21,重度憂鬱,作者感受到無法控制的黑暗情緒，無法消除憂鬱感，感到孤立與無助
114,強烈的絕望和自責，符合嚴重憂鬱,9,輕度憂鬱,作者表現出焦慮和焦慮感，然而還能夠持續地對自己有正面看法
114,強烈的絕望和自責，符合嚴重憂鬱,19,中重度憂鬱,作者表現出輕度的焦慮與不安
114,強烈的絕望和自責，符合嚴重憂鬱,11,中度憂鬱,作者表現出中度的悲傷與孤獨
115,對生活仍有期待,1,無憂鬱症狀,作者表現出輕微的興奮與好奇心
115,對生活仍有期待,12,中度憂鬱,他們正在努力找到平衡，同時克服生活中的挑戰
115,對生活仍有期待,17,中重度憂鬱,作者表現出失望無助的感受，生活中缺乏意義
116,輕度焦慮和輕度憂鬱,11,中度憂鬱,作者感受到抑鬱的沉重感
116,輕度焦慮和輕度憂鬱,9,輕度憂鬱,作者在日常生活中出現輕微的抑鬱感，常常感到沮喪，但對於未來的期待保持著一定的信心
116,輕度焦慮和輕度憂鬱,17,中重度憂鬱,作者感受到持久的痛苦和絕望
117,強烈的自責、輕度焦慮,16,中重度憂鬱,作者感受到無力、無意識的疲勞和空虚感
117,強烈的自責、輕度焦慮,19,中重度憂鬱,作者感受到過度的自責感，同時也出現了一些輕微的焦慮感
117,強烈的自責、輕度焦慮,14,中度憂鬱,作者表現出消極的思考模式
118,輕度焦慮,4,無憂鬱症狀,作者感受到無憂鬱的狀態，心情清潔
118,輕度焦慮,24,重度憂鬱,作者表現出重度的憂鬱和消極情緒
118,輕度焦慮,1,無憂鬱症狀,作者表現出輕微的悲傷和孤獨感
119,強烈的自責、絕望,14,中度憂鬱,作者表現出中度的憂鬱和絕望感
119,強烈的自責、絕望,1,無憂鬱症狀,作者的情緒持續穩定，表現出輕微的悲傷
119,強烈的自責、絕望,5,輕度憂鬱,作者感受到平淡的絕望感
120,強烈的絕望和自責,19,中重度憂鬱,在這段時間內，個人感受到的絕望感逐漸增加，自責感也日漸加重
120,強烈的絕望和自責,22,重度憂鬱,作者在精神空虛和無目的感中挣扎
120,強烈的絕望和自責,6,輕度憂鬱,作者感受到輕度的失望，持續嘗試找到解決方案
121,輕度焦慮和絕望感,8,輕度憂鬱,作者感受到輕度憂鬱的壓力，難以找到平衡
121,輕度焦慮和絕望感,21,重度憂鬱,作者表現出重度憂鬱的情緒
121,輕度焦慮和絕望感,12,中度憂鬱,作者感受到持續的沮喪感，無法找到 escape
122,強烈的自責、輕度焦慮,24,重度憂鬱,作者表現出重度的自責和絕望感
122,強烈的自責、輕度焦慮,20,重度憂鬱,作者表現出重度的憂鬱和自責
122,強烈的自責、輕度焦慮,13,中度憂鬱,作者感受到一些憂鬱的情緒，但仍然持有對未來的希望
