post_id,original_post,sentiment
28,"又做惡夢了。
我總是做惡夢，像電影裡被困在某個時空的角色，想盡辦法逃出去，卻徒勞無功。

夢裡我回到十七歲，最徬徨、無助、絕望的時候。
那天有人要跳樓。

全校都被驚動，我趁亂鑽進密道，爬上頂樓；已經演練無數次了，我計算過，從那裡跳下去必死無疑。

我到的時候，已經有一個人站在那裡。
我不知道他是誰，也不知道他怎麼上去的，我只是靜靜看著他的背影，沒有讓他發現。
他應該也很累了吧，我心想。絲毫不想勸阻他，更不想說些無用的話。

碰的一聲過後，我俯身向下看，地上的他看起來好小，依然背對著我，背對著這個世界。

然後我走下樓，遇到了那個令我牽腸掛肚的人，我試圖暗示些什麼，但他沒有察覺；他問我還好嗎，我笑著說沒事，轉身後卻感到絕望，因為我沒有聽到最想聽見的話——能留住我在這世界的話。

我再一次爬上密道，像那個背影一樣站在高樓頂端，我等啊等，等待有人發現「去上廁所」不過是藉口，等待有人明白每一次微笑背後的悲傷，等待有人跑上樓頂對我說：「我需要你，活下來好不好。」

我只是想被挽留，只是想知道有人在乎我，只是想在快要放棄的時候，有人緊抓著我的手。

然而沒有，什麼都沒有。

於是我死了，在那天。
以及之後的每一天。",持續的絕望感和無助感，符合中度憂鬱
29,"⠀
荷蘭的風很難捉摸，上一秒從背後推你，下一秒就在面前阻擋你前進；大多時候我都很困惑，分不清是玩笑還是惡意。

今天有個男人經過我的時候，低聲喃喃自語了什麼，等我反應過來，才發現「好像」被歧視了。而我甚至不知道應該要有什麼感覺。

如果立即反駁，我害怕誤解他人的意思，如果默不作聲，又害怕助長惡意；因為不知道該怪誰，所以只好怪自己。
我不該反應得太慢，不該什麼都沒做，異地的格格不入與挫折感襲來，被種族歧視的經驗歷歷在目，我想我不該在這裡。

有時候多情願對方是赤裸裸的惡意，像一把刀朝我刺來，我知道該躲、該痛，也會有人替我伸張正義。而「歧視」這麼虛無縹緲的東西，就像一陣風，你要怎麼證明它來過。

猜測沒有答案的問題無疑是一種消耗，我既害怕曲解了別人，又害怕不夠有敏感度而允許這種事情一再發生。可是又能如何，直到現在我都不知道歧視是否發生了。

心情持續的低落著，直至看見自己就感到厭惡。
我恨我的膚色、恨我的五官、恨我的頭髮、恨我和這裡截然不同的一切。
亞洲人中的黃種人中的華人，似乎是次等次等再次等的存在，在台灣從來沒有發現過，活著會這麼突兀、這麼惹人厭煩。

也感覺到委屈，我並沒有傷害任何人啊，可是或許在某些人眼中，我連活著都不配吧。
好累啊，是我把生存想得太容易了。

我不知道應該要被道歉，還是去道歉，只知道無論如何都無法讓自己好過一點。
風吹過之後，不會留下任何痕跡，偏頭痛的滋味無法言喻，只有信者恆信。（只是我也不再說了）",中度憂鬱、自責感、委屈感
30,"總是患得患失，因為知道比起平靜，從快樂到悲傷更讓人痛苦。

昨天又做惡夢了，一樣的人、一樣的劇情、一樣的恐懼；這麼多年過去，我仍逃不出被追殺的陰霾，即使我多希望他早就殺了我。
在夢裡，他靠近我的時候，我懇求旁邊的人給我槍；不是對準他，我太害怕他了，而是對準自己。
我做不到反抗，只希望起碼能死在自己手裡。

明明都那麼多年了，明明都跑到國外了，為什麼還是沒有用呢？
喘著氣醒來的時候，清楚聽見心臟撲通撲通的跳；我想或許他早就已經殺了我。

是不是呢？爸爸。",持續的絕望、自責感和恐懼，符合高度憂鬱
31,"最近真的很焦慮、很低潮，許多想說的話，加上了重重顧慮，都只能化作嘆息。
是不是應該嘗試去說，而不是先入為主的覺得自己不會被理解呢？

可是太害怕誤解帶來的傷了，太害怕麻煩別人，所以故步自封。

前幾天看著觀光景點的一張張笑臉，突然也好想成為鏡頭，見到的時候，人人都朝我笑一個。
我也需要有這樣一顆鏡頭。",輕度焦慮
32,"我從小就被告知自己是個多餘的存在，我是累贅，害得身邊的人不幸。

這讓我迫切尋求身旁人的認同，認為「被需要」是我存在的意義，如此才能不羞恥的活下去。

然而此刻，凌晨三點在異國，失眠的我被惶恐給淹沒。
我發現我是可以被輕易取代的人。在工作上，儘管曾表現得好，可是沒了我，公司照樣運轉；在社群上，儘管有一定的受眾，瞬息萬變的演算法，依舊可以讓我消失在視野之中；遑論那些友情啊、戀情啊，已經離我久遠的親密關係⋯⋯，沒有了我，世界依舊運轉著。

曾經我拚命賺取與命運談判的籌碼，我年輕、有潛力、有一點點作品與積蓄，雖不能讓餘生無恙，起碼暫時的大風大浪不能將我動搖。
但此刻我在異國，沒有了工作，沒有了長才，沒有了健康，沒有了朋友，沒有了存款，沒有了非我不可的人。

留著或走，沒有人在等。

有時候我會困惑，為什麼要把自己的一手好牌打得稀巴爛，有時候卻又覺得，若握著原有的牌面安度此生，恐怕會永遠後悔；人生是一場場的博弈，只是在這一戰中，我輸得徹底。

我不知道回去之後要怎麼重新開始，不知道曾經的長才是否還會受到重視，我本就是過度幸運才能擁有昔日，該怎麼面對一無所有且不再被眷顧的明日？

我知道有些人從來就沒有非誰不可，但我的直拗是無解的；對我而言，身邊的每一個人都無法取代、非他不可。所以我不知道要如何面對自己也只是眾多免洗筷之一的事實。

或許是我太不切實際，那會置人於死地；可若不這樣，我與死了又有何異。

／

我知道沒有人喜歡看迷惘的文章，沒有人喜歡別人傾倒的無助，但我真的無處傾訴，即便害怕被厭煩也不得不說出口，因為再這樣下去，我會溺斃的。
儘管我知道沒有人有義務拉住我，我也不怪任何人，倘若毀滅是我的結局，我會靜靜接受的。
只是在此之前，很想任性的求救一次。",持續的絕望、自責感和無助感
33,"趁還能走的時候，多走一些路，好讓即將疲憊的自己，可以好好休息。

躁鬱的交替，就像兩個人格的切換；一個朝氣蓬勃、蓄勢待發，一個疲弱無力、苟延殘喘。
寫下「帶傷走下去」的自己，並不是所謂「痊癒了」，反而是預感即將到來的低潮，所以在還能樂觀的時候，給自己打打氣，並且希望透過文字，記得自己積極的樣子。（雖然有時候會成為一種諷刺）

昨天又再次夢到了可怕的原生家庭，醒來後一一核對活著發出的訊號，深怕他們找到，但發現自己不可能掩蓋所有足跡，只好抬頭挺胸，努力武裝成堅強的樣子，確保他們追來時不會被擊垮。

我從不說痊癒，因為不可能痊癒，那些發生過的事情，無從改變、無從否認；但凡如此，就一輩子不可能「好起來」。
我排斥所謂的和解，那樣好像我們必須直面所有的傷口、好像所有的途徑都通向原諒；可是有些事情無關乎想不想，從發生的那刻起，就註定要留疤，（留疤甚至已是最好的狀況）。

所以最重要的從來不是讓傷口癒合，而是「帶著傷走下去」，不逃避、不假裝自己能扭轉過去，而是即便滿身醜陋的傷痕，依然堅定方向，不為不值得的人毀掉自己的人生。
即便很辛苦，但我想做到。",輕度焦慮和自責
34,"昨天還快樂得像是要飛起來，覺得過去的苦難都是為了此刻，但是突然間，沒有原因、沒有徵兆，悲傷就席捲來了。

像海嘯一般，把我淹沒。

四周沒有扶木，沒有繩索，什麼都沒有。

很想要哭，哭得撕心裂肺、哭得聲嘶力竭，想要把自己的心臟掏出來看看是哪裡破了洞，想要抓起自己的衣領問到底為什麼。
為什麼，到底為什麼，悲傷為什麼，痛苦為什麼，生病為什麼⋯⋯，為什麼這些問題都沒有為什麼。

「在游泳池裡突然踩空，就算水很淺，也可能會溺斃。」
憂鬱症大概就是這樣的存在，看似沒什麼，對毫無預備的人來說，卻是萬丈深淵。

「救命。」來不及說，我就沉下去了。",強烈的自責和絕望感
35,"生活是嗜血的，拿刀反覆在身上劃，血替眼淚掉，呆若木雞的臉早就沒了反應。

也想哭、也想笑，甚至也想大痛一場，可是只感到陣陣的不舒服像蟲子在囓咬，慢慢擴散，稱不上痛楚，如同不上不下的人生，連了斷都那麼奢侈。

這或許也是為什麼我吊上去了又掙脫的原因吧，我死不了，他媽該死的死不了，但我真的想S啊，好想S啊。如果不能好好的活著，好想S啊。

他人的善意又是那麼荒唐可笑，「你發生了什麼事嗎？」他們問。
怎、麼、會、有、人、發、生、了、事、才、感、到、痛、苦，你們到底過著多麼幸福的生活。

我嫉妒，嫉妒得想殺S對方，再殺S自己，想讓全世界體會我的苦楚；另一方面，卻又誠摯無比的希望，沒有人受過和我一樣的苦。

／

我覺得我是妖怪，只會傷害想安慰我的人，可是我沒有辦法，因為他們的安慰也傷害了我。

／

今天去回診的時候，絕望到差點結束自己，快到家的時候，又被安慰的言語殺死。
短短一天內，我死了兩次。

然而明天還會繼續。",持續的絕望、自責、痛苦
36,"我突然懂了為什麼我認為我不值得活著。

我對這件事的深信正如同小時候對「被愛」的深信（老師們真的不應該這樣教育孩子的）；我以為父母會愛我，因為我是他們的小孩，然而他們用我的整個童年問我：憑什麼？
那讓臉皮薄又缺乏自信的我意識到，天啊，原來我連家人的愛都不配得。
我必須要非常努力、帶給他們足夠的好處，才能搖尾乞憐博得一點點善待。

我是一個極度重視面子與尊嚴的人，自此之後，寧可孤單痛苦的活著，也不再奢求任何人待我好；我不相信無條件的愛，也不相信沒有付出的收穫，因為我曾經付出一切，卻什麼也沒得到。我甚至怪不了他們，因為他們沒有義務愛我，並且很有可能，問題出在我不值得被愛。

我發誓再也不要成為後知後覺的人，在任何關係中都先走一步，在對方起身之前說「我要走了」，即便多想停留，因為我承受不住別人早就想離開卻不好意思說出口的難堪，這樣的憐憫於我如同死刑。

在原生家庭裡，我就是那個全部的人都想離開了，卻又被迫留在原地的累贅。懂事之後我多情願他們離開，但也知道是我的存在綁住了他們——即便我從未自願出生——但我毀了這麼多人的人生，我真的好不要臉、好多餘、好下賤。

我真的沒有資格活下去，而死亡是唯一的贖罪方式。我的心高氣傲結合成長背景，剛好成為不得不死的理由；我不想再拖累任何人，也不想再當被離開的人，所以我要先走一步，趁大家察覺我的糟糕、對我厭煩之前；我希望我在別人的記憶裡可以是美好的，因為太過害怕再次成為累贅。
我寧可成為一個令人意外的驚嘆號，也不要成為讓人無語的刪節號。

我生得沒有尊嚴，唯一能為自己、為別人做的，就是死得有尊嚴。",強烈的自責、絕望
37,"不知道是不是出於愧疚感，總覺得快樂不屬於我，要是被發現我也曾笑過，就會被懲罰的。

好希望有一天可以正大光明的接受所有美好啊，現在卻只能膽怯的擺擺手說，我承擔不起。",輕度焦慮
38,"或許我會遇到一個愛我的人、美好的生活、以前從不敢想像的幸福；也可能不會。

為了幸福的可能而痛苦的活著，值得嗎？

有人說只要活著就有希望，可是我太痛苦了，即便未來有99%幸福的可能，也不要了。

我只能確定，現在離開就可以結束痛苦。
幸福太奢侈，我只要不痛就好了。

／

用S代替「死」，實在是不得不，我被ban到怕了。
多可悲，連自己對自己生命的主導權都不能說出口。有病的從來是這世界。",強烈的絕望、自責感、輕度焦慮
39,"我是一個為了別人存在的機器。

沒有感情、沒有自我，因為如果我不討好別人，就不會有人愛我了。

也時常想，自己死掉了有誰會在乎呢？大概也只是石子扔進池塘裡，一陣波瀾後又靜默無聲吧。像從未來過一樣，石子沉入湖底，再也不見痕跡。

或許對我來說最好的宿命，是在溫暖別人的時候冷死自己；這樣的結局才堪稱可歌可泣。

／

有時候就是想把自己的人生搞砸，倒不是覺得自己多悲慘，而是希望有一天當我想要好好活著的時候，已經來不及了，已經回不了頭了。
然後我就會乖乖接受我的命運，乖乖的赴死，像每天在夢裡一樣。
人群看著、鼓譟著，沒有人阻止。

你知道嗎，有時候我真的很想死，有時候我不得不死。",強烈的絕望感
40,"「都是我的錯，是我害了大家」、「所有的不幸都是我造成的」⋯⋯。
自大到以為自己能影響世界，卻又自卑到不容許自己活著，明知道這樣的想法是錯的，卻沒有辦法控制。
因為我啊，已經徹底的壞掉了。

有人跟我說過「你沒有偉大到足以摧毀別人的人生」，可是為什麼我卻不覺得如釋重負呢？
究竟是自以為是的希望自己那麼重要，還是太深信所有的不幸都是我導致的呢？
甚至如果不痛苦的話，我活著就無以為繼。
這麼矛盾的人生，既想活下去又不該活著的心情、想要彌補卻又替自己感到委屈的想法，我到底是為了什麼才走到這一步呢？

或許是那句「我希望你從未出生」，或許是成長過程自己悟出的「我很多餘」，無論如何，已經沒辦法像正常人一般思考了啊。
在擁有時感到不安，在失去時感到悲傷，難道這就是我的宿命嗎？

我也想好起來，可是我沒有資格，也沒有辦法，我不可以好起來的，對吧。
因為我是壞人，是壞掉的人啊。",強烈的自責、絕望感、輕度焦慮
41,"𝗕𝗲𝘀𝘁 𝘄𝗶𝘀𝗵𝗲𝘀.

最近的追蹤數斷崖式的下滑，坦白說很挫折，有一種不知道自己做錯了什麼卻被拋棄的感覺，甚至自暴自棄的覺得這就是我的命運：不斷被離開、被拋棄。
因為我不夠好到留下任何人。

可是轉念一想，或許是我的文字太過痛苦了，許多人無法理解或承受，所以選擇不去看見；雖然無法獲得真正的答案，但如果真的是如此，我反而會很慶幸呢。

知道這世界只有我在受苦，雖然孤獨卻也開心著。

希望所有人都不再對我的文字有共鳴，希望我是這世界最後一個活得悲傷的人。
我不是多偉大，只是知道那有多痛，所以捨不得。

你們要好好的。",強烈的自責、絕望感、自暴自棄、輕度焦慮
42,"⠀
走在寒冷寂寥的街頭，我說不出「新年快樂」，我不快樂，這個世界不快樂，豈能寄希望於新年呢。
這樣的人生，我連向扛著命運重石的人說聲「辛苦了」都覺得殘忍。

／

昨天計程車司機笑著對我說「新年快樂」的時候，傷口被淚水刺得很痛。
我不知道不快樂是誰的問題，但最終我必須面對這件事情。",強烈的自責和絕望感
43,"⠀
心裡的悲傷太滿卻無法排出來
所以總有人哭泣
總有人自傷
透過這樣的方式讓鼓脹的心臟好過一點

如果不是真的疼到受不了了
我們也想健全地活著啊

／

今天下午突然很想哭，我躺在牙醫診所的椅子上，望著那排機器，突然有把鑽孔插向頸部動脈的衝動。（幻想美劇般噴血的場景，感到「那就是我要的」）

內心是那麼疼痛，痛到不得不對自己痛下殺手，否則會沒有辦法的。
儘管不知道哭泣與自傷會不會讓一切好一點，但那是唯一能做的、可能有幫助的事情；何況我們總是無法控制。

但我還是把一切壓了下來，我沒有哭，更沒有傷害自己，我成為了看起來比較正常的那種人，把每一次的念頭壓扁、真空，然後堆在記憶角落的倉庫。

某種程度上我知道它們正在慢慢膨脹、終有一天會倒塌，但還是僥倖的過著尚未發生的日子；也或許，我在等待它壓垮自己。

現在可能的死與未來肯定的死，我選擇後者。
這才是最用力的自傷。",持續的無助感和情緒低落，符合中度憂鬱
44,"⠀
我每天都在「人間不值得」與「他值得」之間反覆跳躍，一想到人生的痛苦爛事就覺得根本不想活著，但他那麼美好，要是我之前死掉了，就不會看見這樣的美好。

其實我也在等待世界告訴我答案吧，或許我會繼續為此活下去，也或許有一天當痛苦大過於喜悅了，我就會離開。

但在此之前，能夠讓我留在世間的拉力，就是他。只有他而已。",輕度焦慮
45,"⠀
這一年來是我狀況最好的時候，還是會低潮，還是會懷疑活著的意義，可是到目前為止還沒有進出醫院，還沒有結束自己。
或許旁人眼中這樣的我依然是病的，但對於病友們而言，已經是求之不得的狀態了。

然而隨著病況好轉，愧疚感油然而生；我們只有彼此，在低谷時互相攙扶著前進，如今我走得飛快，只能不斷回望他們，說著一些自己都不知道有沒有資格說的話。
我背叛了大家嗎？我離「外面的世界」比較近了，還是這個群體的一份子嗎？

無論如何也不可能變正常，但卡在中間的我是什麼呢？

我想起那些掉隊的人，在病中每個人走得或快或慢，但也有人直接掉下去了，雖然只能以精神陪伴我們，卻讓人深知它的永恆。
所以像我這樣的人會不會格外可惡呢？既不可能真正好起來，又足夠好到令人憤慨；正常的進食、睡覺，穩定服藥，偶爾失態。

如果我是正在濘泥中掙扎的人，肯定會感到被丟下吧。憑什麼自個兒好起來呢，明明都是一起辛苦的人，怎麼可以好得比較快呢？

我是個背叛者嗎？
如今我連說些鼓勵的話都不敢了，倘若聽見有人替我開心，也會難免心酸，因為那份開心帶著成全與遺憾，意思是「我不可能好起來了，但你能變好，我很欣慰。」
不能啊，我們只有彼此，我好了誰來陪伴地獄中的人們呢。

而變好卻又不夠「好」的我，又該何去何從？",輕度自責和焦慮
46,"⠀
每一天的我們都比昨天死掉一點點，但這並沒有讓我更好受，相反地，正因為只死掉一點點，我覺得太難受了。

人生總在放棄的邊緣掙扎，一點點善意就能讓我們留下來，一點點挫折卻又讓人想離開，有人說「幸好那些善意把你留了下來」，但我常想，「到底什麼時候我才能徹底離開」。

已經不想再反覆掙扎了，不想在痛苦的人生裡感受罕見的美好，我只希望能有一個痛快，終結我在夜裡翻來覆去的悲哀。",【解析失敗】</OUTPUT>
47,"⠀
身體好了，心理又爛了。
我真的有夠不值得。不值得被愛，不值得存在，我好爛，真的好爛。

「我就爛」不是一個梗，它對我來說是事實。",強烈的自責和絕望，符合極度憂鬱
48,"⠀
每當我說我真的好痛苦，往往都會被問：「怎麼了？發生什麼事了？」
坦白說，這樣的問句總是讓我非常受傷；是的，不只是受傷，而是非常受傷。
我知道這聽起來有些玻璃心，但或許我的心本來就是玻璃做的，所以易冷，也難以感覺到旁人的溫度。

大多數人似乎沒有辦法理解「沒發生什麼事卻依然痛苦」，我也因此頻頻被他們的言語傷害；我不能理解他們，正如同他們不能理解我一樣。
可是活著本身就是痛苦啊。會讓人嚎啕大哭到想把心挖出來的痛苦。

或許有一部分是因為他們忘了我是病人——我們這種人都太擅長演戲了，導致自身的痛苦難以讓人相信——而你能要求病人什麼呢？如果我們的病就是會讓活著成為惡夢，能不能稍微理解我身處於怎樣的地獄？
想像我每天都被岩漿焚燒、被蟲蟻嚙咬，這樣的生活還需要發生什麼才覺得痛苦嗎？

我也不是大度的人，所以才會感到受傷，因為難以想像有人是因為遇到事情才悲傷。那種濃烈的情緒，是我每天醒來就如影隨形的啊。
有些時候，甚至好想讓別人也體驗看看我的地獄。

所以拜託，不要再問我「怎麼了」，我沒有怎麼了，我就是生病了。

    
痛苦",【解析失敗】</OUTPUT>
49,".
我真的好久、好久、好久沒有快樂了。",輕度焦慮和不安
50,".
昨晚我哭著說：「我到底做錯了什麼？我也沒有比別人不努力啊，為什麼是我，憑什麼是我？」
每天在痛苦中折磨，生死間徘徊，到底是為什麼，為什麼要這樣懲罰我？

人們看著我，以為我有的是大好前程，可是什麼以後、夢想、想要成為的人，我都已經沒有了啊。再怎麼努力繼續前行，也不會有的。

我早就已經死了，只是在等身體腐爛而已。",強烈的絕望和自責
51,".
你有沒有過那種，很悲傷很悲傷的時候，打開通訊軟體滑了一遍，卻還是默默關上，發現一個能找的人都沒有？

以前只覺得這是小說情節，「我有很多朋友啊」，我總是這樣想，後來才發現，朋友多寡與有沒有人可以說話是截然不同的事。
我有很多朋友，可是真正能夠傾訴的人，一個都沒有。

有些人無法理解、有些人自顧不暇、有些人我不願拖累，每次關起手機繼續哭泣，都比一開始多了一分絕望。
或許我早就該做好孤單的準備。

其實相對來說，我是個非常獨立的人，我常常、並喜歡一個人做任何事，甚至不能理解女生們結伴上廁所的原因是什麼。我一個人吃飯、看電影、旅行、甚至動手術，並不感到孤獨，可是被人群環繞的時候，卻覺得我的腳下開了一個洞，我正在向下落，沒有人能夠拉住我。

大多數的時候我並不需要他人陪伴，只是最無助的時候，那一點希望會化成極大的絕望；讓我明白，無論走到哪裡、有多少人在身邊，我終究是孤身一人。",持續的絕望和無助感，符合中度至高度憂鬱
52,".
雪崩的時候，沒有一片雪花是無辜的。
壓在我身上的稻草也是。
我S的時候，背著每個人的名字。

他們甚至不用付出代價。
所以我只希望，如果我S了，你們知道這不是自S，是他S。
社會S死了我。

每天在委屈裡自我哀憐的話，大概就不用過活了吧，因為活著的每時每刻都充滿了憋屈啊。

在工作上背負了不屬於我的錯誤卻必須忍下，下班時在路上被擦撞，車主下車問道：「沒事吧？沒事就算了吧，後面塞車了。」
看著後排的車潮，此起彼落的喇叭聲彷彿在對我公審，我恍惚的繼續騎行，工作上的委屈感再次襲來。
是啊，我們總要顧全大局，犧牲小我，但事實是根本沒有人在乎你個人的感受。

你會在乎和你擦肩而過的路人今天發生了什麼嗎？你會因為他的傷痛而傷痛嗎？
不，你不會。但這不是你的錯，因為你沒有那麼多時間與心力在乎與你無關的人。可是很可悲的，這些人會成為大局下的犧牲者，甚至沒有一個墓碑讓他人悼念。

意識到這點的當下，我為自己強撐著沒有被撞倒而感到諷刺；大事都能被化成小事，小事自然會化成沒事。
而像我這樣纖細敏感者、容易因世界的惡意受傷者，先天就無法適應生存規則，再多的心理建設，也抹滅不了屈辱與不甘。
「為什麼」這句話，絕大多數時候是不能問的，可我做不到，所以我註定要被強行噤聲。

我們時常說著溫柔的話語，試圖掩蓋世界殘忍的事實，或者希望寥寥幾句話可以改變什麼，但命運的齒輪一旦運轉起來，我們誰也沒能扭轉局勢。

你還記得歷史課本上那些淪為他國俘虜的人，忠於自己的國家或原則，備感屈辱、最後選擇自我了斷嗎？
生活的絕大多數時候，我都有那種感受。
不是不想活下去，而是無法漠視現有的一切，在深不認可的世界苟且偷生。

如果活著必須接受這樣那樣的現實，那麼就將我從體制裡淘汰吧。
畢竟戳瞎了眼睛我還是看得到那些噁心，並且無論如何都跪不下去。

就讓我在自以為的清高裡S去，就讓我的自怨自艾將我溺斃。

I quit, I don’t fucking care anymore.

註：「S」並非刻意將原字消除，而是我的帳號已經遭到多次檢舉，恐被官方刪除，不得已用英文替換。
多麼諷刺，捅刀的世界不准人們指認。","【解析失敗】請輸入貼文內容：


<INPUT> 
雪崩的時候，沒有一片雪花是無辜的。
壓在我身上的稻草也是。
我S的時候，背著每個人的名字。

他們甚至不用付出代價。
所以我只希望，如果我S了，你們知道這不是自S，是他S。
社會S死了我。

每天在委屈裡自我哀憐的話，大概就不用過活了吧，因為活著的每時每刻都充滿了憋屈啊。

在工作上背負了不屬於我的錯誤卻必須忍下，下班時在路上被擦撞，車主下車問道：「沒事吧？沒事就算了吧，後面塞車了。」
看著後排的車潮，此起彼落的喇�"
53,".
難免有很想消失的時候。

「我是一個對自己非常苛刻的人。」娟說。他講的時候，我才知道原來那是苛刻，原來我也是這樣對自己的。

沒有達到自己或他人的期待，都讓我想要躲進桌下的角落，正如絕大多數時候，我希望自己不曾存在過。

人為什麼要活著呢？
有人說皇天不會負苦心人，可我問了一輩子，還是沒找到答案。

有時候總覺得自己的存在對不起社會大眾，真不知道是把自己想得太糟糕了，還是把自己想得太偉大了。",輕度焦慮
54,".
也不是多麼大愛的人，甚至很常痛恨這世界，只是感受到越多痛苦的時候，就越捨不得還有人也在承受這些。

昨天本該是個開心的日子，可是我卻坐在床上崩潰痛哭，沒有原因，只想此刻、馬上，離開這裡。

什麼樣的未來都不重要了，沒有經歷過那種痛的人，才會以為屈指可數的幸福可以彌補。

真的，堅持了十多年的夢想不重要了，值得愛的人們不重要了，支撐著我的美好不重要了，承諾過的約定不重要了，對於過往的眷戀和未來的期待都不重要了。
因為太痛苦了，為了免除這種痛苦，我甘願附上一切。

捨不得寵物病痛所以施行安樂死的飼主、想讓家人體面離開而簽放棄急救的家屬，能不能也明白我的感受呢。
在經歷之前，我甚至不知道人可以這麼痛苦。那是無法量化、無法形容的地獄，遠比所有肉體的傷痛還要恐怖。
我曾經開刀、曾經骨裂、曾經傷口深可見骨，然而卻在每一天承受超乎這些的疼痛。

我就這樣過了十一年。

拜託不要再對我說加油了，不要再安慰我人生還有很多美好了，我知道，我全都知道，可是你們沒有這麼痛過，沒有感受過什麼叫做痛得寧可放棄所有。

以前我恨為什麼只有我在地獄裡，但現在我彷彿承受了全世界痛苦的總和，所以如果可以的話，希望你們好好的，我才不會覺得自己痛得那麼辛苦。

不理解我的人、總是檢舉我的人啊，祝福你們，我不生氣的，因為你們讓我明白，原來也有人可以好好活著。
我也就可以假裝偉大了，我會告訴自己，我連同別人的份一起痛了。",極度的憂鬱和絕望
55,".
我們這種人啊，就好像得了類風濕性關節炎一樣，天氣變了、天色變了、環境變了、人群變了，內心就會泛起疼痛。

類風濕性關節炎發起病來，免疫系統會不明原因地攻擊自己的關節，而我們發起病來，也總感到這世界不明原因的傷害自己。
有時候光是活著，就足夠疼痛了。

（不過每種病都有自己的苦難，或許也難以類比，唯一可以確定的是，活著真的太累了。）",持續的絕望感和情緒低落
56,".
這個世界，沒有我也會好好的運轉吧。
時常在餐廳看著幸福的家庭，充分感受到自己的多餘。我不是那麼不知恥的人，不用別人趕，我就先不打擾了。

沒有了我，大家都會更開心吧。",輕度焦慮
57,".
已經快要爆炸⋯⋯

人活著的底線究竟是什麼呢？
金錢？尊嚴？工作？自由？

我只知道我被工作反覆輾壓，剝奪睡眠、生活，以及所有工作以外的時間和心力。
可是在這世界，沒有產能的人又能如何呢？

感覺自己的情緒已經在崩潰邊緣了，可是在崩潰以前，不會有人相信我是真的很痛苦吧。

我真的很痛苦啊，痛不欲生啊。
在來不及之前，有人可以救我嗎。",強烈的絕望和自責，符合嚴重憂鬱
58,".
今天騎車去載璟的時候，在曲折的馬路上迷路，忍不住大哭出來。

我很輕易覺得別人值得被愛，卻沒有辦法認為自己應該被愛，一邊騎車一邊哭的時候，我想著我是一個糟糕透頂的人，我什麼都不會，什麼都做不好。
被愛是需要資格的，我沒有功用，沒有產能，既做不好工作，也愛不好人，去載朋友都可以迷路到很遠的地方。
這樣的我好爛，連我都不想愛了，憑什麼希望別人愛。

我沒有辦法控制，滿腦子的「我好爛我好爛我好爛我好爛」以72pt在腦海裡不斷循環，我想著是不是乾脆自撞算了，瑕疵商品要被去除，我也應該要被淘汰。

這世界是一個巨大的賣場，你必須要有籌碼才有資格談判，我不想當個無恥的人，手裡沒半點錢，卻還有那麼多期望。

我不相信有人會願意愛我，曾經他出現過，但如今他消失了。
這樣傻的好人幾百年才出一個，從前不會有，以後也不會有了。

我到現在才懂得去愛，又有什麼用呢，我的存在就不值得被愛，而且我親手將他弄丟了。
我痛，但我活該。",強烈的自責和絕望
59,".
他留下的訊息讓我久久無法忘懷，我試著告訴自己他到了更好的地方，可是為什麼他不是好好的離開，而是被趕出這個地球。

為什麼死的不是我，發生任何事的時候、只是走在路上的時候，都好想問，為什麼死的不是我。
像我這樣過馬路的人、像我這樣呼吸的人、像我這樣搭車的人，充滿了討人厭的樣子，為什麼還不去死。

藉口自己牽掛著什麼，但其實只有一個原因：厚顏無恥。",強烈的絕望和自責感
60,".
最近每天晚上都在哭，但我並不希望停止哭泣；我最不想成為的，就是再也不會因為分離而哭的人。",輕度焦慮
61,"我沒有想過自己最愛的東西會變成我的地獄。

從未愛過比這好得多了
如果我不愛它
就不會這麼看重它、這麼把自己完全拋出去
然後重重墜地

人不是都依賴著藉口活著嗎
如今我要靠什麼活下去

我想到以前每次迷惘的時候
安東都會問我說：重點是你開心嗎
上次我們好久沒見了
他問了我一樣的問題
我知道他一直都沒變
可是如今我的答案讓我痛苦不已
我不開心，一點都不開心
可是我沒料到是這種回答
我沒料到有一天我會對它不開心
我怎麼會有一天對它不開心

比死亡更寂寞的是
發現自己已經沒有藉口可以活下去",強烈的自責、輕度焦慮
62,"活著好難，活著真的真的好難。
我不懂我做錯了什麼。",輕度焦慮和疑慮
63,".
對不起，我終究還是最愛我自己。
對不起，再多的愧疚還是無法讓我活下去。",強烈的自責感和絕望，符合嚴重憂鬱
64,"總是要流淚才覺得自己活著，卻又不知道為什麼而哭。
或許這樣的自己可悲至極。",輕度焦慮
65,時常問自己活著的意義為何，可是無論我怎麼找，都還是覺得，人間不值得。,強烈的絕望和自責
